Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Localidad;Provincia;Periodo
General Lavalle, BUENOS AIRES;206;142;940;15.18;23.68;16.55;71;46;-102;-97;65;40;General Lavalle;BUENOS AIRES;jun-24
Valle Viejo, CATAMARCA;1,970,000;2,270,000;150;15.34;14.14;12.10;72;63;-99;-99;67;62;Valle Viejo;CATAMARCA;jun-24
Tordillo, BUENOS AIRES;182;279;426;16.64;25.51;11.52;59;43;-100;-97;54;38;Tordillo;BUENOS AIRES;jun-24
Totoral, CÓRDOBA;2,250,000;3,830,000;12,4;14.74;14.56;12.09;58;58;-102;-99;56;56;Totoral;CÓRDOBA;jun-24
Coronel Suárez, BUENOS AIRES;1,580,000;976;3,450,000;17.23;22.04;10.46;59;51;-100;-98;53;48;Coronel Suárez;BUENOS AIRES;jun-24
Chilecito, LA RIOJA;702;8,140,000;10,4;13.35;14.67;12.32;82;65;-97;-95;76;61;Chilecito;LA RIOJA;jun-24
Tupungato, MENDOZA;3,860,000;452;1,740,000;8.25;14.92;11.39;80;67;-102;-100;84;62;Tupungato;MENDOZA;jun-24
Suipacha, BUENOS AIRES;1,120,000;192;320;11.83;18.25;8.76;77;48;-101;-101;75;42;Suipacha;BUENOS AIRES;jun-24
Villa Gesell, BUENOS AIRES;2,260,000;1,540,000;6,680,000;17.80;22.22;12.89;60;47;-100;-100;54;42;Villa Gesell;BUENOS AIRES;jun-24
Avellaneda, RÍO NEGRO;7,180,000;665;954;11.82;17.27;11.48;75;67;-96;-96;70;59;Avellaneda;RÍO NEGRO;jun-24
Arrecifes, BUENOS AIRES;3,780,000;626;593;15.29;17.86;15.89;57;53;-100;-100;54;48;Arrecifes;BUENOS AIRES;jun-24
Moreno, SANTIAGO DEL ESTERO;352;6,850,000;11,6;14.39;8.40;13.96;75;75;-101;-94;71;71;Moreno;SANTIAGO DEL ESTERO;jun-24
General Alvear, CORRIENTES;298;1,890,000;1,45;13.40;8.46;8.29;70;70;-101;-100;67;67;General Alvear;CORRIENTES;jun-24
9 de Julio, RÍO NEGRO;19,5;--;494;1.19;--;10.55;1,097;69;-88;-88;996;82;9 de Julio;RÍO NEGRO;jun-24
General Donovan, CHACO;442;1,910,000;7,94;16.46;13.35;9.45;66;60;-96;-93;60;57;General Donovan;CHACO;jun-24
Fray Mamerto Esquiú, CATAMARCA;1,060,000;599;76,7;15.09;15.04;14.04;72;64;-102;-94;66;61;Fray Mamerto Esquiú;CATAMARCA;jun-24
San Antonio de Areco, BUENOS AIRES;1,680,000;1,060,000;2,030,000;13.70;15.15;9.91;58;55;-101;-101;56;52;San Antonio de Areco;BUENOS AIRES;jun-24
Bermejo, FORMOSA;244;2,550,000;--;13.31;10.63;--;74;74;-90;-90;68;68;Bermejo;FORMOSA;jun-24
Catán Lil, NEUQUÉN;653;--;39;7.27;--;1.15;112;112;-102;-87;137;137;Catán Lil;NEUQUÉN;jun-24
Chos Malal, NEUQUÉN;1,450,000;81,6;1,000,000;11.75;13.75;11.54;83;75;-100;-91;79;69;Chos Malal;NEUQUÉN;jun-24
Ullum, SAN JUAN;267;175;159;14.02;16.41;11.51;73;66;-106;-99;69;57;Ullum;SAN JUAN;jun-24
Lácar, NEUQUÉN;3,830,000;1,340,000;3,360,000;12.29;10.80;11.34;80;80;-101;-99;77;77;Lácar;NEUQUÉN;jun-24
Aluminé, NEUQUÉN;244;1,99;1,090,000;1.15;6.39;11.19;1,271;84;-95;-95;1,176;83;Aluminé;NEUQUÉN;jun-24
Oberá, MISIONES;1,950,000;9,410,000;169;11.31;12.37;15.44;86;69;-101;-101;84;62;Oberá;MISIONES;jun-24
General Guido, BUENOS AIRES;197;119;356;15.23;19.97;17.24;71;53;-99;-97;65;48;General Guido;BUENOS AIRES;jun-24
Tafí del Valle, TUCUMÁN;1,310,000;3,380,000;97,3;12.63;10.59;11.92;84;70;-100;-100;80;75;Tafí del Valle;TUCUMÁN;jun-24
Catriló, LA PAMPA;1,430,000;153;290;15.78;12.97;15.39;60;60;-100;-92;57;57;Catriló;LA PAMPA;jun-24
Lincoln, BUENOS AIRES;5,720,000;1,180,000;1,040,000;14.58;14.78;16.05;58;52;-99;-99;55;46;Lincoln;BUENOS AIRES;jun-24
Deseado, SANTA CRUZ;19,500,000;995;10,600,000;9.49;17.77;11.25;88;69;-100;-97;87;64;Deseado;SANTA CRUZ;jun-24
Bella Vista, CORRIENTES;862;3,840,000;8,52;15.21;12.49;13.68;73;64;-99;-99;69;65;Bella Vista;CORRIENTES;jun-24
Curacó, LA PAMPA;76,7;--;457;1.04;--;12.73;1,315;65;-94;-94;1,212;70;Curacó;LA PAMPA;jun-24
